ThreadID: 11, Smelter: 1, Transporter: 0, Constructor: 0, Action: SMELTER_CREATED, TimeStamp: 49.178000 ms.
ThreadID: 30, Smelter: 0, Transporter: 10, Constructor: 0, Action: TRANSPORTER_CREATED, TimeStamp: 70.402900 ms.
ThreadID: 29, Smelter: 0, Transporter: 9, Constructor: 0, Action: TRANSPORTER_CREATED, TimeStamp: 70.810600 ms.
ThreadID: 28, Smelter: 0, Transporter: 8, Constructor: 0, Action: TRANSPORTER_CREATED, TimeStamp: 71.133900 ms.
ThreadID: 27, Smelter: 0, Transporter: 7, Constructor: 0, Action: TRANSPORTER_CREATED, TimeStamp: 71.508400 ms.
ThreadID: 26, Smelter: 0, Transporter: 6, Constructor: 0, Action: TRANSPORTER_CREATED, TimeStamp: 72.521600 ms.
ThreadID: 25, Smelter: 0, Transporter: 5, Constructor: 0, Action: TRANSPORTER_CREATED, TimeStamp: 72.860500 ms.
ThreadID: 22, Smelter: 0, Transporter: 2, Constructor: 0, Action: TRANSPORTER_CREATED, TimeStamp: 73.231700 ms.
ThreadID: 23, Smelter: 0, Transporter: 3, Constructor: 0, Action: TRANSPORTER_CREATED, TimeStamp: 73.555600 ms.
ThreadID: 24, Smelter: 0, Transporter: 4, Constructor: 0, Action: TRANSPORTER_CREATED, TimeStamp: 73.949600 ms.
ThreadID: 21, Smelter: 0, Transporter: 1, Constructor: 0, Action: TRANSPORTER_CREATED, TimeStamp: 74.611700 ms.
ThreadID: 19, Smelter: 0, Transporter: 0, Constructor: 4, Action: CONSTRUCTOR_CREATED, TimeStamp: 75.306400 ms.
ThreadID: 20, Smelter: 0, Transporter: 0, Constructor: 5, Action: CONSTRUCTOR_CREATED, TimeStamp: 75.685800 ms.
ThreadID: 18, Smelter: 0, Transporter: 0, Constructor: 3, Action: CONSTRUCTOR_CREATED, TimeStamp: 76.346200 ms.
ThreadID: 16, Smelter: 0, Transporter: 0, Constructor: 1, Action: CONSTRUCTOR_CREATED, TimeStamp: 76.906000 ms.
ThreadID: 17, Smelter: 0, Transporter: 0, Constructor: 2, Action: CONSTRUCTOR_CREATED, TimeStamp: 77.320600 ms.
ThreadID: 14, Smelter: 4, Transporter: 0, Constructor: 0, Action: SMELTER_CREATED, TimeStamp: 77.741600 ms.
ThreadID: 15, Smelter: 5, Transporter: 0, Constructor: 0, Action: SMELTER_CREATED, TimeStamp: 78.196500 ms.
ThreadID: 12, Smelter: 2, Transporter: 0, Constructor: 0, Action: SMELTER_CREATED, TimeStamp: 78.800700 ms.
ThreadID: 13, Smelter: 3, Transporter: 0, Constructor: 0, Action: SMELTER_CREATED, TimeStamp: 79.295900 ms.
ThreadID: 13, Smelter: 3, Transporter: 0, Constructor: 0, Action: SMELTER_STARTED, TimeStamp: 79.678800 ms.
ThreadID: 12, Smelter: 2, Transporter: 0, Constructor: 0, Action: SMELTER_STARTED, TimeStamp: 83.881800 ms.
ThreadID: 15, Smelter: 5, Transporter: 0, Constructor: 0, Action: SMELTER_STARTED, TimeStamp: 84.648100 ms.
ThreadID: 14, Smelter: 4, Transporter: 0, Constructor: 0, Action: SMELTER_STARTED, TimeStamp: 85.188400 ms.
ThreadID: 11, Smelter: 1, Transporter: 0, Constructor: 0, Action: SMELTER_STARTED, TimeStamp: 85.779800 ms.
ThreadID: 11, Smelter: 1, Transporter: 0, Constructor: 0, Action: SMELTER_FINISHED, TimeStamp: 95.499100 ms.
ThreadID: 14, Smelter: 4, Transporter: 0, Constructor: 0, Action: SMELTER_FINISHED, TimeStamp: 95.983700 ms.
ThreadID: 22, Smelter: 1, Transporter: 2, Constructor: 0, Action: TRANSPORTER_TRAVEL, TimeStamp: 96.264600 ms.
ThreadID: 28, Smelter: 4, Transporter: 8, Constructor: 0, Action: TRANSPORTER_TRAVEL, TimeStamp: 96.735600 ms.
ThreadID: 15, Smelter: 5, Transporter: 0, Constructor: 0, Action: SMELTER_FINISHED, TimeStamp: 99.478400 ms.
