ThreadID: 11, Smelter: 1, Transporter: 0, Constructor: 0, Action: SMELTER_CREATED, TimeStamp: 50.437800 ms.
ThreadID: 16, Smelter: 0, Transporter: 2, Constructor: 0, Action: TRANSPORTER_CREATED, TimeStamp: 71.168500 ms.
ThreadID: 15, Smelter: 0, Transporter: 1, Constructor: 0, Action: TRANSPORTER_CREATED, TimeStamp: 71.614200 ms.
ThreadID: 13, Smelter: 0, Transporter: 0, Constructor: 1, Action: CONSTRUCTOR_CREATED, TimeStamp: 72.098400 ms.
ThreadID: 14, Smelter: 0, Transporter: 0, Constructor: 2, Action: CONSTRUCTOR_CREATED, TimeStamp: 72.571100 ms.
ThreadID: 12, Smelter: 2, Transporter: 0, Constructor: 0, Action: SMELTER_CREATED, TimeStamp: 73.027000 ms.
ThreadID: 11, Smelter: 1, Transporter: 0, Constructor: 0, Action: SMELTER_STARTED, TimeStamp: 73.336400 ms.
ThreadID: 12, Smelter: 2, Transporter: 0, Constructor: 0, Action: SMELTER_STARTED, TimeStamp: 73.649200 ms.
ThreadID: 12, Smelter: 2, Transporter: 0, Constructor: 0, Action: SMELTER_FINISHED, TimeStamp: 99.375000 ms.
ThreadID: 11, Smelter: 1, Transporter: 0, Constructor: 0, Action: SMELTER_FINISHED, TimeStamp: 99.855700 ms.
ThreadID: 16, Smelter: 2, Transporter: 2, Constructor: 0, Action: TRANSPORTER_TRAVEL, TimeStamp: 100.487500 ms.
ThreadID: 15, Smelter: 1, Transporter: 1, Constructor: 0, Action: TRANSPORTER_TRAVEL, TimeStamp: 101.068500 ms.
ThreadID: 16, Smelter: 2, Transporter: 2, Constructor: 0, Action: TRANSPORTER_TAKE_INGOT, TimeStamp: 111.388600 ms.
ThreadID: 15, Smelter: 1, Transporter: 1, Constructor: 0, Action: TRANSPORTER_TAKE_INGOT, TimeStamp: 112.373900 ms.
ThreadID: 12, Smelter: 2, Transporter: 0, Constructor: 0, Action: SMELTER_STARTED, TimeStamp: 120.367800 ms.
ThreadID: 11, Smelter: 1, Transporter: 0, Constructor: 0, Action: SMELTER_STARTED, TimeStamp: 120.778600 ms.
ThreadID: 16, Smelter: 0, Transporter: 2, Constructor: 2, Action: TRANSPORTER_TRAVEL, TimeStamp: 122.376000 ms.
ThreadID: 15, Smelter: 0, Transporter: 1, Constructor: 1, Action: TRANSPORTER_TRAVEL, TimeStamp: 123.393600 ms.
ThreadID: 16, Smelter: 0, Transporter: 2, Constructor: 2, Action: TRANSPORTER_DROP_INGOT, TimeStamp: 132.381200 ms.
ThreadID: 15, Smelter: 0, Transporter: 1, Constructor: 1, Action: TRANSPORTER_DROP_INGOT, TimeStamp: 133.396600 ms.
ThreadID: 11, Smelter: 1, Transporter: 0, Constructor: 0, Action: SMELTER_FINISHED, TimeStamp: 140.378700 ms.
ThreadID: 12, Smelter: 2, Transporter: 0, Constructor: 0, Action: SMELTER_FINISHED, TimeStamp: 140.728900 ms.
ThreadID: 15, Smelter: 1, Transporter: 1, Constructor: 0, Action: TRANSPORTER_TRAVEL, TimeStamp: 143.452600 ms.
